user_input,retrieved_contexts,response,reference,context_recall,faithfulness,answer_relevancy,context_precision
"Factoid question: What is the purpose of RDC 604/2022 regulation?
Answer: Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e ácido fólico destinados ao consumo humano.","['RDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por: \nRDC 612/2022 \nDocumento relacionado:', 'RDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por: \nRDC 612/2022', 'RDC 612/2022 \nDocumento relacionado: \nPerguntas e Respostas sobre Enriquecimento de Farinhas de Trigo e de Milho com Ferro e Ácido Fólico', '1.10. Requisitos Sanitários para enriquecimento e restauração de alimentos \n \nRDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por:']",The purpose of RDC 604/2022 regulation is to mandate the fortification of salt with iodine and of wheat and corn flours with iron and folic acid for human consumption.,Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e ácido fólico destinados ao consumo humano.,1.0,0.5,0.5913062968693524,0.999999999975
"Factoid question: What is the purpose of RDC 24/2010?
Answer: It regulates the offer, advertising, publicity, information, and other related practices aimed at the dissemination and commercial promotion of foods with high levels of sugar, saturated fat, trans fat, sodium, and beverages with low nutritional content.","['RDC 24/2010 – Dispõe sobre a oferta, propaganda, publicidade, informação e outras práticas correlatas cujo \nobjetivo seja a divulgação e a promoção comercial de alimentos considerados com quantidades elevadas de', 'RDC 429/2020 - Rotulagem nutricional dos alimentos embalados. Altera a RDC 21/2015. \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. Altera a RDC 22/2015. \nDocumento relacionado:', 'RDC 216/2004 – Regulamento técnico de boas práticas para serviços de alimentação. \n Alterada por: \nRDC 52/2014 \nAto relacionado: \nRDC 49/2013 – Dispõe sobre a regularização para o exercício de atividade de interesse sanitário do', 'Decreto nº 10.139, de 28 de novembro de 2019. \nRDC 818/2023 - Requisitos sanitários dos adoçantes de mesa e dos adoçantes dietéticos. \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes.']","The purpose of RDC 24/2010 is to regulate the offer, advertising, publicity, information, and other related practices aimed at the dissemination and commercial promotion of foods with high levels of sugar, saturated fat, trans fat, sodium, and beverages with low nutritional content.","It regulates the offer, advertising, publicity, information, and other related practices aimed at the dissemination and commercial promotion of foods with high levels of sugar, saturated fat, trans fat, sodium, and beverages with low nutritional content.",1.0,0.5,0.643730428357323,0.0
"Factoid question: What regulatory item addresses the review of regulations for regenerated cellulose films in contact with food?
Answer: Tema Regulatório 3.20 da Agenda Regulatória 2024/2025","['Tema Regulatório 3.20 da Agenda Regulatória 2024/2025: Revisão da regulamentação de películas de  \ncelulose regeneradas em contato com alimentos. \nTema Regulatório 3.21 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre materiais,', 'Tema Regulatório 3.18 da Agenda Regulatória 2024/2025: Revisão da regulamentação de embalagens de  \nPET-PCR grau alimentício destinados a entrar em contato com alimentos.', 'Tema Regulatório 3.6 da Agenda Regulatória 2024/2025: Regulamentação da declaração quantitativa de  \ningredientes na rotulagem de alimentos embalados.', 'Tema Regulatório 3.13 da Agenda Regulatória 2024/2025: Revisão da lista positiva de aditivos destinados à  \nelaboração de materiais plásticos e revestimentos poliméricos em contato com alimentos.']","The regulatory item that addresses the review of regulations for regenerated cellulose films in contact with food is ""Tema Regulatório 3.20 da Agenda Regulatória 2024/2025.""",Tema Regulatório 3.20 da Agenda Regulatória 2024/2025,1.0,,0.773108226140052,0.7499999999625
"Factoid question: What is the purpose of RDC 839/2023?
Answer: Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.","['RDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.', 'Alterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.', 'Alterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.', 'ingredientes.  \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.']",The purpose of RDC 839/2023 is to ensure the safety and authorize the use of new foods and new ingredients.,Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.,1.0,1.0,0.677021784250648,0.999999999975
"Factoid question: What substances are mandated to be added to salt for human consumption according to RDC 604/2022?
Answer: Iodo","['RDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por: \nRDC 612/2022 \nDocumento relacionado:', 'RDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por: \nRDC 612/2022', '1.10. Requisitos Sanitários para enriquecimento e restauração de alimentos \n \nRDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por:', 'Lei 6.150/1974 – Dispõe sobre a obrigatoriedade da iodação do sal, destinado ao consumo humano, seu \ncontrole pelos órgãos sanitários e dá outras providências']",Iodo (iodine) is mandated to be added to salt for human consumption according to RDC 604/2022.,Iodo,1.0,1.0,0.6691232090398231,0.999999999975
"Factoid question: What is the purpose of IN 162/2022?
Answer: To establish the acceptable daily intake (IDA), the acute reference dose (DRfA), and the maximum residue limits (LMR) for active pharmaceutical ingredients (IFA) of veterinary medicines in animal origin foods.","['Ato relacionado: \nIN 162/2022 - Ingestão diária aceitável (IDA), a dose de referência aguda (DRfA) e os limites máximos \nde resíduos (LMR) para insumos farmacêuticos ativos (IFA) de medicamentos veterinários em \nalimentos de origem animal.', 'alimentos de origem animal. \nIN 162/2022  - Ingestão diária aceitável (IDA), a dose de referência aguda (DRfA) e os limites máximos de \nresíduos (LMR) para insumos farmacêuticos ativos (IFA) de medicamentos veterinários em alimentos de', 'para IFA de medicamentos veterinários em alimentos de origem animal. \nRDC 730/2022 - Avaliação do risco à saúde humana de medicamentos veterinários, os limites máximos de', 'IN 197/2022 \nIN 262/2023 \nIN 273/2024 \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.  \n1.23. Requisitos sanitários para sal destinado ao consumo humano']","The purpose of IN 162/2022 is to establish the acceptable daily intake (IDA), the acute reference dose (DRfA), and the maximum residue limits (LMR) for active pharmaceutical ingredients (IFA) of veterinary medicines in animal origin foods.","To establish the acceptable daily intake (IDA), the acute reference dose (DRfA), and the maximum residue limits (LMR) for active pharmaceutical ingredients (IFA) of veterinary medicines in animal origin foods.",1.0,1.0,0.5912997570410469,0.9999999999
"Factoid question: What is the purpose of Lei 14.016/2020?
Answer: To combat food waste and donate surplus food for human consumption.","['3.5. Regularização da doação de alimentos com segurança sanitária \n \nLei 14.016/2020 - Dispõe sobre o combate ao desperdício de alimentos e a doação de excedentes de alimentos \npara o consumo humano.', 'RDC 589/2021 \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.', 'Alterada por: \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.', 'Alterada por: \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.']",The purpose of Lei 14.016/2020 is to combat food waste and promote the donation of surplus food for human consumption.,To combat food waste and donate surplus food for human consumption.,1.0,1.0,0.7308666854598808,0.9999999999
"Factoid question: What regulation updates the requirements for nutritional labeling of packaged foods in Brazil?
Answer: RDC 429/2020","['Alterada por: \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.  \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas', 'RDC 429/2020 - Rotulagem nutricional dos alimentos embalados. Altera a RDC 21/2015. \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. Altera a RDC 22/2015. \nDocumento relacionado:', 'RDC 21/2001 – Regulamento técnico para irradiação de alimentos. \n \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.   \nAlterada por: \nRDC 460/2020 - Requisitos sanitários das fórmulas dietoterápicas para erros inatos do metabolismo.', 'RDC 819/2023 \nAto relacionado: \nIN 75/2020 - Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos \nembalados.   \nDocumentos relacionados:']",The regulation that updates the requirements for nutritional labeling of packaged foods in Brazil is RDC 429/2020.,RDC 429/2020,1.0,1.0,0.7939401834676846,0.999999999975
"Factoid question: What law defines the National System of Sanitary Surveillance and creates the National Health Surveillance Agency in Brazil?
Answer: Lei 9.782/1999","['1. Regularização, avaliação de risco e padrões de alimentos \nLei 9.782/1999 – Define o Sistema Nacional de Vigilância Sanitária, cria a Agência Nacional de Vigilância \nSanitária, e dá outras providências.', '4. Controle, fiscalização e monitoramento de produtos e serviços  \nLei nº 6.437/1977  – Configura infrações à legislação sanitária federal, estabelece as sanções respectivas, e dá \noutras providências.', 'Sanitária, e dá outras providências. \n \nDecreto-Lei 986/1969 – Institui normas básicas sobre alimentos \n \nRDC 204/2005 – Procedimento de petições submetidas à análise pelos setores técnicos da Anvisa \nAlterada por: \nRDC 23/2015 \nRDC 208/2018', 'Alterada por: \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.']",The law that defines the National System of Sanitary Surveillance and creates the National Health Surveillance Agency in Brazil is Lei 9.782/1999.,Lei 9.782/1999,1.0,1.0,0.8341019440830832,0.8333333332916666
"Factoid question: What law requires food products to inform about the presence of gluten?
Answer: Lei 10.674/2003","['de 2003. \n \nLei 10.674/2003  – Obriga a que os produtos alimentícios comercializados informem sobre a presença de \nglúten, como medida preventiva e de controle da doença celíaca.', 'Alterado por: \nLei 13.305/2016 – Altera Decreto-Lei 986/1969 para dispor sobre rotulagem de alimentos com lactose. \n \nDecreto 4.680/2003 – Regulamenta o direito à informação  quanto aos alimentos e ingredientes alimentares', 'RDC 727/2022 - Rotulagem dos alimentos embalados.  \nAtos relacionados: \nLei 12.849/2013 – Obrigatoriedade de as fábricas de produtos que contenham látex natural gravarem \nem suas embalagens advertência sobre a presença dessa substância.', 'RDC 727/2022 - Rotulagem dos alimentos embalados.  \nAtos relacionados: \nLei 12.849/2013 – Obrigatoriedade de as fábricas de produtos que contenham látex natural gravarem \nem suas embalagens advertência sobre a presença dessa substância.']",The law that requires food products to inform about the presence of gluten is Lei 10.674/2003.,Lei 10.674/2003,1.0,1.0,0.7559922514860414,0.9999999999
