user_input,retrieved_contexts,response,reference,context_recall,faithfulness,answer_relevancy,context_precision
"Factoid question: Quais são os limites máximos tolerados (LMT) de contaminantes em alimentos estabelecidos pela RDC 722/2022?
Answer: Os limites máximos tolerados (LMT) de contaminantes em alimentos são estabelecidos pela RDC 722/2022.","['Documento de Perguntas e Respostas sobre Contaminantes em Alimentos. \n \nIN 160/2022 - Limites máximos tolerados (LMT) de contaminantes em alimentos. (Atualização Periódica)  \n1.7. Matérias estranhas macroscópicas e microscópicas em alimentos', 'RDC 281/2003 – Benzo(a)pireno em alimentos. \n \nRDC 722/2022 - Limites máximos tolerados (LMT) de contaminantes em alimentos, os princípios gerais para o \nseu estabelecimento e os métodos de análise para fins de avaliação de conformidade.', 'ou qualquer outro produto fumígeno, derivado do tabaco ou não.  \nRDC 722/2022 - Limites máximos tolerados (LMT) de contaminantes em alimentos, os princípios gerais para o', 'RDC 623/2022 - Limites de tolerância para matérias estranhas em alimentos, os princípios gerais para o seu \nestabelecimento e os métodos de análise para fins de avaliação de conformidade.']","Não sei, peço desculpas.",Os limites máximos tolerados (LMT) de contaminantes em alimentos são estabelecidos pela RDC 722/2022.,1.0,0.0,0.0,0.9999999999666667
"Factoid question: Qual é o tema regulatório 3.30 da Agenda Regulatória 2024/2025?
Answer: Atualização periódica da lista de espécies vegetais autorizadas, as designações, a composição de ácidos graxos e os valores máximos de acidez e de índice de peróxidos para óleos e gorduras vegetais.","['1.18. Requisitos sanitários para óleos e gorduras vegetais \n \nTema Regulatório 3.30 da Agenda Regulatória 2024/2025: Atualização periódica da lista de espécies vegetais', 'Tema Regulatório 3.6 da Agenda Regulatória 2024/2025: Regulamentação da declaração quantitativa de  \ningredientes na rotulagem de alimentos embalados.', '1.27. Regulamentação dos alimentos plant-based \n \nTema Regulatório 3.11 da Agenda Regulatória 2024/2025 - A regulamentar. \n2. Informações ao consumidor \n2.1. Rotulagem de Alimentos', 'Tema Regulatório 3.23 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem  dos \nprincipais alimentos alergênicos. \nTema Regulatório 3.24 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem geral']","I don't know, apologies.","Atualização periódica da lista de espécies vegetais autorizadas, as designações, a composição de ácidos graxos e os valores máximos de acidez e de índice de peróxidos para óleos e gorduras vegetais.",1.0,0.0,0.0,0.9999999999
"Factoid question: Quais são os procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia?
Answer: Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia são descritos na seção 1.5.","['1.5. Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia .....................  6', 'Aditivos Alimentares e Coadjuvantes de Tecnologia de Fabricação na Legislação Brasileira. \nDocumento relacionado: \nPerguntas e Respostas sobre Aditivos Alimentares e Coadjuvantes de Tecnologia', '1.5. Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes \nde tecnologia  \n \nTema Regulatório 3.5 da Agenda Regulatória 2024/2025: Reavaliação da autorização de uso do aditivo  \nalimentar dióxido de titânio em alimentos.', 'Guia nº 43, versão 1, de 14/12/2020  - Procedimentos para Pedidos de Inclusão e Extensão de Uso de Aditivos \nAlimentares e Coadjuvantes de Tecnologia de Fabricação na Legislação Brasileira. \n \nRDC 725/2022 - Aditivos alimentares aromatizantes.']",Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia são descritos na seção 1.5.,Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia são descritos na seção 1.5.,1.0,1.0,0.8438381374347711,0.999999999975
"Factoid question: Qual é o ato que estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos embalados?
Answer: IN 75/2020","['IN 75/2020  - Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos \nembalados.   \nAlterada por: \nRDC 460/2020 - Requisitos sanitários das fórmulas dietoterápicas para erros inatos do metabolismo.', 'RDC 819/2023 \nAto relacionado: \nIN 75/2020 - Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos \nembalados.   \nDocumentos relacionados:', 'Alterada por: \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.  \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas', 'Tema Regulatório 3.6 da Agenda Regulatória 2024/2025: Regulamentação da declaração quantitativa de  \ningredientes na rotulagem de alimentos embalados.']",IN 75/2020.,IN 75/2020,1.0,1.0,0.0,0.9999999999666667
"Factoid question: Quais são os documentos relacionados aos requisitos sanitários para suplementos alimentares?

Answer: Perguntas e Respostas sobre Suplementos Alimentares, Perguntas e Respostas sobre Substâncias Bioativas.","['Documentos relacionados: \nPerguntas e Respostas sobre Suplementos Alimentares. \nPerguntas e Respostas sobre Substâncias Bioativas. \nIN 28/2018  – Listas de constituintes, de limites de uso, de alegações e de rotulagem complementar dos', '1.12. Requisitos sanitários para suplementos alimentares \n \nTema Regulatório 3.29 da Agenda Regulatória 2024/2025: Atualização periódica da lista de constituintes, de', '1.12. Requisitos sanitários para suplementos alimentares ................................ ................................ ................. 13', 'embalados.   \nDocumentos relacionados: \nPerguntas e Respostas sobre Rotulagem Nutricional de Alimentos embalados  \nPerguntas e Respostas sobre Alegações Nutricionais']","Os documentos relacionados aos requisitos sanitários para suplementos alimentares são ""Perguntas e Respostas sobre Suplementos Alimentares"" e ""Perguntas e Respostas sobre Substâncias Bioativas"".","Perguntas e Respostas sobre Suplementos Alimentares, Perguntas e Respostas sobre Substâncias Bioativas.",0.5,0.5,0.8237861683049021,0.9999999999
"Factoid question: Qual é a lei que dispõe sobre o combate ao desperdício de alimentos e a doação de excedentes de alimentos para o consumo humano?
Answer: Lei 14.016/2020","['3.5. Regularização da doação de alimentos com segurança sanitária \n \nLei 14.016/2020 - Dispõe sobre o combate ao desperdício de alimentos e a doação de excedentes de alimentos \npara o consumo humano.', 'Alterada por: \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.  \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas', 'Alterada por: \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.', 'Alterada por: \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.']",Lei 14.016/2020.,Lei 14.016/2020,1.0,1.0,0.5608172929935747,0.9999999999
"Factoid question: Quando foi a última atualização da Biblioteca de Alimentos?
Answer: Atualizada em 06.11.2024","['BIBLIOTECA DE \nALIMENTOS \nAtualizada em 06.11.2024 \nCoordenação de Processos Regulatórios – CPROR \nAssessoria de Melhoria da Qualidade Regulatória – ASREG \nGabinete do Diretor-Presidente \n \nAGENDA REGULATÓRIA \nCiclo Bienal \n2024-2025', 'para o consumo humano. \nGuia nº 26, versão 2, de 08/01/2021 - Guia de Boas Práticas para Bancos de Alimentos. \n \nGuia nº 57, versão 1, de 07/11/2022 - Guia para Doação de Alimentos com Segurança Sanitária.', 'Alterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \nDocumento relacionado: \nPerguntas e respostas sobre modificações na composição de alimentos padronizados para alegações', 'os coadjuvantes de tecnologia autorizados para uso em alimentos. (Atualização Periódica) \nAlterada por: \nIN 221/2023 \nIN 223/2023 \nIN 267/2023 \nIN 274/2024 \nIN 286/2024 \nIN 295/2024 \nIN 297/2024 \nIN 303/2024 \nIN 306/2024']",Atualizada em 06.11.2024.,Atualizada em 06.11.2024,1.0,1.0,0.0,0.8055555555287036
"Factoid question: O que é o Programa de controle de alergênicos em alimentos?
Answer: Um programa que visa controlar a presença de substâncias que causam alergias em alimentos.","['4.2. Programa de controle de alergênicos em alimentos ................................ ................................ ...................... 22', 'e distribuição de alimentos com forma de apresentação semelhante a cigarro, charuto, cigarrilha, ou qualquer \noutro produto fumígeno, derivado do tabaco ou não.  \n4.2. Programa de controle de alergênicos em alimentos', 'Tema Regulatório 3.23 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem  dos \nprincipais alimentos alergênicos. \nTema Regulatório 3.24 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem geral', 'RDC 902/2024  - Inclusão de declaração sobre nova fórmula na rotulagem de produtos sujeitos à \nvigilância sanitária quando da alteração de sua composição. \nGuia nº 5, versão 2, de 16/10/2018 - Guia sobre Programa de Controle de Alergênicos.']","Desculpe, não sei a resposta.",Um programa que visa controlar a presença de substâncias que causam alergias em alimentos.,1.0,0.0,0.0,0.4166666666458333
"Factoid question: Qual a lei que define o Sistema Nacional de Vigilância Sanitária e cria a Agência Nacional de Vigilância Sanitária?
Answer: Lei 9.782/1999","['1. Regularização, avaliação de risco e padrões de alimentos \nLei 9.782/1999 – Define o Sistema Nacional de Vigilância Sanitária, cria a Agência Nacional de Vigilância \nSanitária, e dá outras providências.', '(CVLEA), no âmbito do Sistema Nacional de Vigilância Sanitária.', '4. Controle, fiscalização e monitoramento de produtos e serviços  \nLei nº 6.437/1977  – Configura infrações à legislação sanitária federal, estabelece as sanções respectivas, e dá \noutras providências.', 'Sanitária, e dá outras providências. \n \nDecreto-Lei 986/1969 – Institui normas básicas sobre alimentos \n \nRDC 204/2005 – Procedimento de petições submetidas à análise pelos setores técnicos da Anvisa \nAlterada por: \nRDC 23/2015 \nRDC 208/2018']",Lei 9.782/1999.,Lei 9.782/1999,1.0,1.0,0.0,0.7499999999625
"Factoid question: Quais normas foram alteradas pela RDC 429/2020?
Answer: RDC 43, 44, e 45/2011 foram alteradas pela RDC 429/2020.","['RDC 48/2014 – Altera a RDC 45/2011. \nRDC 241/2018 – Altera as RDC´s 43 e 44/2011. \nRDC 429/2020 – Altera as RDC´s 43, 44, 45/2011. \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas', 'Decreto nº 10.139, de 28 de novembro de 2019. Altera as RDC´s 43, 44, 45/2011. \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes.  \nDocumento relacionado:', 'Alterada por: \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.  \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas', 'RDC 429/2020 - Rotulagem nutricional dos alimentos embalados. Altera a RDC 21/2015. \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. Altera a RDC 22/2015. \nDocumento relacionado:']","RDC 43, 44, and 45/2011 were altered by RDC 429/2020.","RDC 43, 44, e 45/2011 foram alteradas pela RDC 429/2020.",1.0,1.0,0.7045147505150046,0.999999999975
