user_input,retrieved_contexts,response,reference,context_recall,faithfulness,answer_relevancy,context_precision
"Factoid question: Qual é o número do guia que trata da doação de alimentos com segurança sanitária?
Answer: Guia nº 57, versão 1, de 07/11/2022 - Guia para Doação de Alimentos com Segurança Sanitária.","['para o consumo humano. \nGuia nº 26, versão 2, de 08/01/2021 - Guia de Boas Práticas para Bancos de Alimentos. \n \nGuia nº 57, versão 1, de 07/11/2022 - Guia para Doação de Alimentos com Segurança Sanitária.', 'para uso em alimentos. \nGuia nº 23, versão 1, de 23/07/2019  - Guia para Comprovação da Segurança de Alimentos e \nIngredientes. \nDocumento relacionado:', 'Guia nº 5, versão 2, de 16/10/2018 - Guia sobre Programa de Controle de Alergênicos. \nGuia nº 16, versão 1, de 05/10/2018 - Guia para Determinação de Prazos de Validade de Alimentos. \n Documentos relacionados:', 'Guia nº 57, versão 1, de 07/11/2022 - Guia para Doação de Alimentos com Segurança Sanitária. \n4. Controle, fiscalização e monitoramento de produtos e serviços 4. Controle, fiscalização e monitoramento de produtos e serviços  \nLei nº 6.437/1977  – Configura infrações à legislação sanitária federal, estabelece as sanções respectivas, e dá \noutras providências. Lei nº 6.437/1977  – Configura infrações à legislação sanitária federal, estabelece as sanções respectivas, e dá \noutras providências. \n4.1. Controle, fiscalização e monitoramento de alimentos']","Guia nº 57, versão 1, de 07/11/2022 - Guia para Doação de Alimentos com Segurança Sanitária.","Guia nº 57, versão 1, de 07/11/2022 - Guia para Doação de Alimentos com Segurança Sanitária.",1.0,0.25,0.60472015900476,0.7499999999625
"Factoid question: Qual é o tema regulatório da Agenda Regulatória 2024/2025 relacionado à revisão da regulamentação de películas de celulose regeneradas em contato com alimentos?
Answer: Tema Regulatório 3.20 da Agenda Regulatória 2024/2025: Revisão da regulamentação de películas de celulose regeneradas em contato com alimentos.","['metálicos em contato com alimentos.   \n \nTema Regulatório 3.20 da Agenda Regulatória 2024/2025: Revisão da regulamentação de películas de  \ncelulose regeneradas em contato com alimentos. celulose regeneradas em contato com alimentos. \nTema Regulatório 3.21 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre materiais, Tema Regulatório 3.21 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre materiais,  \nembalagens e equipamentos celulósicos destinados a entrar em contato com alimentos.', 'Tema Regulatório 3.10 da Agenda Regulatória 2024/2025 - A regulamentar. \n1.27. Regulamentação dos alimentos plant-based \n \nTema Regulatório 3.11 da Agenda Regulatória 2024/2025 - A regulamentar. 1.27. Regulamentação dos alimentos plant-based \n \nTema Regulatório 3.11 da Agenda Regulatória 2024/2025 - A regulamentar. \n2. Informações ao consumidor \n2.1. Rotulagem de Alimentos', '2. Informações ao consumidor \n2.1. Rotulagem de Alimentos  \n \nTema Regulatório 3.3 da Agenda Regulatória 2024/2025: Identificação de estratégias para promover o', 'plásticos em contato com alimentos. \nTema Regulatório 3.12 da Agenda Regulatória 2024/2025: Regulamentação dos requisitos sanitários para  \nmateriais de silicone em contato com alimentos - A regulamentar. materiais de silicone em contato com alimentos - A regulamentar. \nTema Regulatório 3.13 da Agenda Regulatória 2024/2025: Revisão da lista positiva de aditivos destinados à']",Tema Regulatório 3.20 da Agenda Regulatória 2024/2025: Revisão da regulamentação de películas de celulose regeneradas em contato com alimentos.,Tema Regulatório 3.20 da Agenda Regulatória 2024/2025: Revisão da regulamentação de películas de celulose regeneradas em contato com alimentos.,1.0,1.0,0.42682470212199264,0.99999999995
"Factoid question: Qual é o tema regulatório 3.5 da Agenda Regulatória 2024/2025?
Answer: Reavaliação da autorização de uso do aditivo alimentar dióxido de titânio em alimentos.","['de tecnologia  \n \nTema Regulatório 3.5 da Agenda Regulatória 2024/2025: Reavaliação da autorização de uso do aditivo  \nalimentar dióxido de titânio em alimentos. alimentar dióxido de titânio em alimentos. \nTema Regulatório 3.9 da Agenda Regulatória 2024/2025: Regulamentação dos aditivos corantes formulados \ne da rotulagem de corantes e aromatizantes em alimentos embalados.', 'Tema Regulatório 3.15 da Agenda Regulatória 2024/2025: Revisão da regulamentação de aditivos  \nalimentares e coadjuvantes de tecnologia em alimentos. alimentares e coadjuvantes de tecnologia em alimentos. \nTema Regulatório 3.16 da Agenda Regulatória 2024/2025: Revisão da regulamentação de autorização de uso \ne de rotulagem de aditivos edulcorantes em alimentos.', '1.5. Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes \nde tecnologia  \n \nTema Regulatório 3.5 da Agenda Regulatória 2024/2025: Reavaliação da autorização de uso do aditivo', 'Tema Regulatório 3.34 da Agenda Regulatória 2024/2025: Atualização periódica das listas de aditivos  \nalimentares e coadjuvantes de tecnologia autorizados para uso em alimentos.']",Reavaliação da autorização de uso do aditivo alimentar dióxido de titânio em alimentos.,Reavaliação da autorização de uso do aditivo alimentar dióxido de titânio em alimentos.,1.0,1.0,0.3292410027344548,0.8333333332916666
"Factoid question: Quais são os requisitos sanitários para alimentos para fins especiais de acordo com o tema regulatório 3.27 da Agenda Regulatória 2024/2025?
Answer: Requisitos sanitários para alimentos para fins especiais de acordo com o tema regulatório 3.27 da Agenda Regulatória 2024/2025 incluem a revisão e consolidação da regulamentação sobre alimentos infantis, fórmulas para nutrição enteral e fórmulas dietoterápicas para erros inatos do metabolismo.","['Tema Regulatório 3.27 da Agenda Regulatória 2024/2025: Revisão e consolidação da regulamentação  sobre \nalimentos infantis, fórmulas para nutrição  enteral e fórmulas dietoterápicas para erros  inatos do alimentos infantis, fórmulas para nutrição  enteral e fórmulas dietoterápicas para erros  inatos do \nmetabolismo. \nPortaria SVS/MS 34/1998 – Alimentos de transição para lactentes e crianças de primeira infância.', '1.11. Requisitos sanitários para alimentos para fins especiais \n \nTema Regulatório 3.27 da Agenda Regulatória 2024/2025: Revisão e consolidação da regulamentação  sobre', 'Documento relacionado: \nPerguntas e Respostas sobre Fórmulas para Nutrição Enteral. \n \nRDC 460/2020 - Requisitos sanitários das fórmulas dietoterápicas para erros inatos do metabolismo.  \nAlterada por: RDC 460/2020 - Requisitos sanitários das fórmulas dietoterápicas para erros inatos do metabolismo.  \nAlterada por: \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.', 'metálicos em contato com alimentos.   \n \nTema Regulatório 3.20 da Agenda Regulatória 2024/2025: Revisão da regulamentação de películas de  \ncelulose regeneradas em contato com alimentos. celulose regeneradas em contato com alimentos. \nTema Regulatório 3.21 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre materiais, Tema Regulatório 3.21 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre materiais,  \nembalagens e equipamentos celulósicos destinados a entrar em contato com alimentos.']","Os requisitos sanitários para alimentos para fins especiais de acordo com o tema regulatório 3.27 da Agenda Regulatória 2024/2025 incluem a revisão e consolidação da regulamentação sobre alimentos infantis, fórmulas para nutrição enteral e fórmulas dietoterápicas para erros inatos do metabolismo.","Requisitos sanitários para alimentos para fins especiais de acordo com o tema regulatório 3.27 da Agenda Regulatória 2024/2025 incluem a revisão e consolidação da regulamentação sobre alimentos infantis, fórmulas para nutrição enteral e fórmulas dietoterápicas para erros inatos do metabolismo.",1.0,1.0,0.706628070744392,0.9999999999666667
"Factoid question: Quais normas foram alteradas pela RDC 401/2020?
Answer: RDC 22/2015.","['para uso em alimentos. Altera a RDC 22/2015. \nRDC 401/2020 - Altera a RDC  22/2015 para atualizar as referências de especificações para  compostos', 'RDC 241/2018 – Altera as RDC´s 43 e 44/2011. \nRDC 429/2020 – Altera as RDC´s 43, 44, 45/2011. \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas', 'Ato relacionado: \nDecreto 9.579/2018 – Consolida atos normativos editados pelo Poder Executivo federal que dispõem', 'RDC 401/2020 - Altera a RDC  22/2015 para atualizar as referências de especificações para  compostos \nfontes de nutrientes e outras substâncias para uso em fórmulas para nutrição enteral. fontes de nutrientes e outras substâncias para uso em fórmulas para nutrição enteral. \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados. Altera a RDC 21/2015.']",RDC 22/2015.,RDC 22/2015.,1.0,1.0,0.26866103360936605,0.9166666666361111
"Factoid question: Quais são os materiais autorizados para a elaboração de embalagens e equipamentos plásticos em contato com alimentos?
Answer: Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados para a elaboração de embalagens e equipamentos plásticos em contato com alimentos.","['RDC 52/2010 – Corantes em embalagens e equipamentos plásticos destinados a estar em contato com \nalimentos. \nRDC 56/2012 – Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados alimentos. \nRDC 56/2012 – Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados \npara a elaboração de embalagens e equipamentos plásticos em contato com alimentos.', 'Alterada por: \nRDC 326/2019 \n \nRDC 56/2012 – Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados para a \nelaboração de embalagens e equipamentos plásticos em contato com alimentos. RDC 56/2012 – Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados para a \nelaboração de embalagens e equipamentos plásticos em contato com alimentos.  \nAlterada por: RDC 56/2012 – Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados para a \nelaboração de embalagens e equipamentos plásticos em contato com alimentos.  \nAlterada por:  \nRDC 326/2019 elaboração de embalagens e equipamentos plásticos em contato com alimentos.  \nAlterada por:  \nRDC 326/2019 \nRDC 589/2021', 'em contato com alimentos. \n \nRDC 52/2010  – Corantes em embalagens e equipamentos plásticos destinados a estar em contato com \nalimentos. \nAlterada por: \nRDC 326/2019', 'para a elaboração de embalagens e equipamentos plásticos em contato com alimentos.  \nRDC 326/2019  - Lista positiva de aditivos destinados à elaboração de materiais plásticos e RDC 326/2019  - Lista positiva de aditivos destinados à elaboração de materiais plásticos e \nrevestimentos poliméricos em contato com alimentos. \nRDC 589/2021']","Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados para a elaboração de embalagens e equipamentos plásticos em contato com alimentos.","Lista positiva de monômeros, outras substâncias iniciadoras e polímeros autorizados para a elaboração de embalagens e equipamentos plásticos em contato com alimentos.",1.0,1.0,0.9155145634776033,0.999999999975
"Factoid question: Qual é o tema regulatório 3.29 da Agenda Regulatória 2024/2025?
Answer: Atualização periódica da lista de constituintes, de limites de uso, de alegações e de rotulagem complementar dos suplementos alimentares.","['1.12. Requisitos sanitários para suplementos alimentares \n \nTema Regulatório 3.29 da Agenda Regulatória 2024/2025: Atualização periódica da lista de constituintes, de Tema Regulatório 3.29 da Agenda Regulatória 2024/2025: Atualização periódica da lista de constituintes, de \nlimites de uso, de alegações e de rotulagem complementar dos suplementos alimentares.', 'e molhos \n \nTema Regulatório 3.28 da Agenda Regulatória 2024/2025: Atualização periódica da lista das partes de \nvegetais autorizadas para o preparo de chás e para uso como especiarias.', 'Perguntas e Respostas sobre Suplementos Alimentares. \nPerguntas e Respostas sobre Substâncias Bioativas. \nIN 28/2018  – Listas de constituintes, de limites de uso, de alegações e de rotulagem complementar dos Perguntas e Respostas sobre Substâncias Bioativas. \nIN 28/2018  – Listas de constituintes, de limites de uso, de alegações e de rotulagem complementar dos \nsuplementos alimentares. (Atualização Periódica) IN 28/2018  – Listas de constituintes, de limites de uso, de alegações e de rotulagem complementar dos \nsuplementos alimentares. (Atualização Periódica) \nAlterada por: suplementos alimentares. (Atualização Periódica) \nAlterada por: \nIN 76/2020 – Atualiza as listas de constituintes, de limites de uso, de alegações e de rotulagem \ncomplementar dos suplementos alimentares.', 'Tema Regulatório 3.34 da Agenda Regulatória 2024/2025: Atualização periódica das listas de aditivos  \nalimentares e coadjuvantes de tecnologia autorizados para uso em alimentos.']","Atualização periódica da lista de constituintes, de limites de uso, de alegações e de rotulagem complementar dos suplementos alimentares.","Atualização periódica da lista de constituintes, de limites de uso, de alegações e de rotulagem complementar dos suplementos alimentares.",1.0,0.5,0.24408228107683042,0.8333333332916666
"Factoid question: Qual é o tema regulatório 3.8 da Agenda Regulatória 2024/2025?
Answer: Regulamentação das listas de novos alimentos e novos ingredientes autorizados e suas especificações.","['Tema Regulatório 3.8 da Agenda Regulatória 2024/2025: Regulamentação das listas de novos alimentos e  \nnovos ingredientes autorizados e suas especificações.', '1.2. Procedimentos para avaliação de risco, segurança e eficácia de alimentos  \n \nTema Regulatório 3.8 da Agenda Regulatória 2024/2025: Regulamentação das listas de novos alimentos e', 'Tema Regulatório 3.6 da Agenda Regulatória 2024/2025: Regulamentação da declaração quantitativa de  \ningredientes na rotulagem de alimentos embalados. ingredientes na rotulagem de alimentos embalados. \nTema Regulatório 3.9 da Agenda Regulatória 2024/2025: Regulamentação dos aditivos corantes formulados', 'Tema Regulatório 3.9 da Agenda Regulatória 2024/2025: Regulamentação dos aditivos corantes formulados \ne da rotulagem de corantes e aromatizantes em alimentos embalados. e da rotulagem de corantes e aromatizantes em alimentos embalados. \nTema Regulatório 3.16 da Agenda Regulatória 2024/2025: Revisão da regulamentação de autorização de uso Tema Regulatório 3.16 da Agenda Regulatória 2024/2025: Revisão da regulamentação de autorização de uso \ne de rotulagem de aditivos edulcorantes em alimentos. e de rotulagem de aditivos edulcorantes em alimentos.   \n \nTema Regulatório 3.23 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem  dos \nprincipais alimentos alergênicos. principais alimentos alergênicos. \nTema Regulatório 3.24 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem geral \nde alimentos embalados.']",Regulamentação das listas de novos alimentos e novos ingredientes autorizados e suas especificações.,Regulamentação das listas de novos alimentos e novos ingredientes autorizados e suas especificações.,1.0,1.0,0.4626609584288653,0.99999999995
"Factoid question: Quais são os temas regulatórios da Agenda Regulatória 2024/2025 relacionados à rotulagem de alimentos?
Answer: Tema Regulatório 3.3, 3.6, 3.9 e 3.16 da Agenda Regulatória 2024/2025.","['Tema Regulatório 3.9 da Agenda Regulatória 2024/2025: Regulamentação dos aditivos corantes formulados \ne da rotulagem de corantes e aromatizantes em alimentos embalados. e da rotulagem de corantes e aromatizantes em alimentos embalados. \nTema Regulatório 3.16 da Agenda Regulatória 2024/2025: Revisão da regulamentação de autorização de uso Tema Regulatório 3.16 da Agenda Regulatória 2024/2025: Revisão da regulamentação de autorização de uso \ne de rotulagem de aditivos edulcorantes em alimentos. e de rotulagem de aditivos edulcorantes em alimentos.   \n \nTema Regulatório 3.23 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem  dos \nprincipais alimentos alergênicos. principais alimentos alergênicos. \nTema Regulatório 3.24 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem geral \nde alimentos embalados.', 'Tema Regulatório 3.15 da Agenda Regulatória 2024/2025: Revisão da regulamentação de aditivos  \nalimentares e coadjuvantes de tecnologia em alimentos. alimentares e coadjuvantes de tecnologia em alimentos. \nTema Regulatório 3.16 da Agenda Regulatória 2024/2025: Revisão da regulamentação de autorização de uso \ne de rotulagem de aditivos edulcorantes em alimentos.', '2. Informações ao consumidor \n2.1. Rotulagem de Alimentos  \n \nTema Regulatório 3.3 da Agenda Regulatória 2024/2025: Identificação de estratégias para promover o', '1.12. Requisitos sanitários para suplementos alimentares \n \nTema Regulatório 3.29 da Agenda Regulatória 2024/2025: Atualização periódica da lista de constituintes, de Tema Regulatório 3.29 da Agenda Regulatória 2024/2025: Atualização periódica da lista de constituintes, de \nlimites de uso, de alegações e de rotulagem complementar dos suplementos alimentares.']","Tema Regulatório 3.3, 3.6, 3.9 e 3.16 da Agenda Regulatória 2024/2025.
Desculpe, não sei.","Tema Regulatório 3.3, 3.6, 3.9 e 3.16 da Agenda Regulatória 2024/2025.",0.75,0.5,0.0,0.999999999975
"Factoid question: Qual legislação obriga que os produtos alimentícios comercializados informem sobre a presença de glúten?
Answer: Lei 10.674/2003","['de 2003. \n \nLei 10.674/2003  – Obriga a que os produtos alimentícios comercializados informem sobre a presença de \nglúten, como medida preventiva e de controle da doença celíaca. glúten, como medida preventiva e de controle da doença celíaca. \n \nLei 11.265/2006 – Regulamenta a comercialização de alimentos para lactentes e crianças de primeira infância', 'Decreto-Lei 986/1969 – Institui normas básicas sobre alimentos. \nLei 11.265/2006 – Regulamenta a comercialização de alimentos para lactentes e crianças de primeira infância Lei 11.265/2006 – Regulamenta a comercialização de alimentos para lactentes e crianças de primeira infância \ne também a de produtos de puericultura correlatos. \n Alterada por: \nLei 11.474/2007 \nAto relacionado:', 'RDC 727/2022 - Rotulagem dos alimentos embalados.  \nAtos relacionados: \nLei 12.849/2013 – Obrigatoriedade de as fábricas de produtos que contenham látex natural gravarem Atos relacionados: \nLei 12.849/2013 – Obrigatoriedade de as fábricas de produtos que contenham látex natural gravarem \nem suas embalagens advertência sobre a presença dessa substância.', 'O objetivo é garantir a segurança e a qualidade de alimentos, incluindo bebidas, águas envasadas, \ningredientes, matérias-primas, aditivos alimentares e coadjuvantes de tecnologia, materiais em contato']",Lei 10.674/2003.,Lei 10.674/2003,1.0,1.0,0.0,0.8333333332916666
