user_input,retrieved_contexts,response,reference,context_recall,faithfulness,answer_relevancy,context_precision
"Factoid question: Quais são os limites máximos tolerados (LMT) de contaminantes em alimentos estabelecidos pela RDC 722/2022?
Answer: Os limites máximos tolerados (LMT) de contaminantes em alimentos são estabelecidos pela RDC 722/2022.",['Documento de Perguntas e Respostas sobre Contaminantes em Alimentos. \n \nIN 160/2022 - Limites máximos tolerados (LMT) de contaminantes em alimentos. (Atualização Periódica)  \n1.7. Matérias estranhas macroscópicas e microscópicas em alimentos'],"Desculpe, não sei a resposta.",Os limites máximos tolerados (LMT) de contaminantes em alimentos são estabelecidos pela RDC 722/2022.,1.0,0.0,0.0,0.9999999999
"Factoid question: Qual é o tema regulatório 3.30 da Agenda Regulatória 2024/2025?
Answer: Atualização periódica da lista de espécies vegetais autorizadas, as designações, a composição de ácidos graxos e os valores máximos de acidez e de índice de peróxidos para óleos e gorduras vegetais.",['1.18. Requisitos sanitários para óleos e gorduras vegetais \n \nTema Regulatório 3.30 da Agenda Regulatória 2024/2025: Atualização periódica da lista de espécies vegetais'],"I don't know, apologies.","Atualização periódica da lista de espécies vegetais autorizadas, as designações, a composição de ácidos graxos e os valores máximos de acidez e de índice de peróxidos para óleos e gorduras vegetais.",1.0,0.0,0.0,0.9999999999
"Factoid question: Quais são os procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia?
Answer: Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia são descritos na seção 1.5.","['Guia nº 43, versão 1, de 14/12/2020  - Procedimentos para Pedidos de Inclusão e Extensão de Uso de Aditivos \nAlimentares e Coadjuvantes de Tecnologia de Fabricação na Legislação Brasileira. \n \nRDC 725/2022 - Aditivos alimentares aromatizantes.']",Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia são descritos na seção 1.5.,Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes de tecnologia são descritos na seção 1.5.,1.0,0.0,0.8438381374347711,0.9999999999
"Factoid question: Qual é o ato que estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos embalados?
Answer: IN 75/2020",['RDC 819/2023 \nAto relacionado: \nIN 75/2020 - Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos \nembalados.   \nDocumentos relacionados:'],IN 75/2020.,IN 75/2020,1.0,1.0,0.0,0.9999999999
"Factoid question: Quais são os documentos relacionados aos requisitos sanitários para suplementos alimentares?

Answer: Perguntas e Respostas sobre Suplementos Alimentares, Perguntas e Respostas sobre Substâncias Bioativas.","['Documentos relacionados: \nPerguntas e Respostas sobre Suplementos Alimentares. \nPerguntas e Respostas sobre Substâncias Bioativas. \nIN 28/2018  – Listas de constituintes, de limites de uso, de alegações e de rotulagem complementar dos']","Os documentos relacionados aos requisitos sanitários para suplementos alimentares são ""Perguntas e Respostas sobre Suplementos Alimentares"" e ""Perguntas e Respostas sobre Substâncias Bioativas.""","Perguntas e Respostas sobre Suplementos Alimentares, Perguntas e Respostas sobre Substâncias Bioativas.",1.0,,0.8237861683049021,0.9999999999
"Factoid question: Qual é a lei que dispõe sobre o combate ao desperdício de alimentos e a doação de excedentes de alimentos para o consumo humano?
Answer: Lei 14.016/2020",['3.5. Regularização da doação de alimentos com segurança sanitária \n \nLei 14.016/2020 - Dispõe sobre o combate ao desperdício de alimentos e a doação de excedentes de alimentos \npara o consumo humano.'],Lei 14.016/2020.,Lei 14.016/2020,1.0,1.0,0.5608528453001486,0.9999999999
"Factoid question: Quando foi a última atualização da Biblioteca de Alimentos?
Answer: Atualizada em 06.11.2024",['BIBLIOTECA DE \nALIMENTOS \nAtualizada em 06.11.2024 \nCoordenação de Processos Regulatórios – CPROR \nAssessoria de Melhoria da Qualidade Regulatória – ASREG \nGabinete do Diretor-Presidente \n \nAGENDA REGULATÓRIA \nCiclo Bienal \n2024-2025'],Atualizada em 06.11.2024.,Atualizada em 06.11.2024,1.0,1.0,0.0,0.9999999999
"Factoid question: O que é o Programa de controle de alergênicos em alimentos?
Answer: Um programa que visa controlar a presença de substâncias que causam alergias em alimentos.",['4.2. Programa de controle de alergênicos em alimentos ................................ ................................ ...................... 22'],"Desculpe, não sei a resposta.",Um programa que visa controlar a presença de substâncias que causam alergias em alimentos.,1.0,0.0,0.0,0.0
"Factoid question: Qual a lei que define o Sistema Nacional de Vigilância Sanitária e cria a Agência Nacional de Vigilância Sanitária?
Answer: Lei 9.782/1999","['1. Regularização, avaliação de risco e padrões de alimentos \nLei 9.782/1999 – Define o Sistema Nacional de Vigilância Sanitária, cria a Agência Nacional de Vigilância \nSanitária, e dá outras providências.']",Lei 9.782/1999.,Lei 9.782/1999,1.0,1.0,0.0,0.9999999999
"Factoid question: Quais normas foram alteradas pela RDC 429/2020?
Answer: RDC 43, 44, e 45/2011 foram alteradas pela RDC 429/2020.","['RDC 48/2014 – Altera a RDC 45/2011. \nRDC 241/2018 – Altera as RDC´s 43 e 44/2011. \nRDC 429/2020 – Altera as RDC´s 43, 44, 45/2011. \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas']","RDC 43, 44, and 45/2011 were altered by RDC 429/2020.","RDC 43, 44, e 45/2011 foram alteradas pela RDC 429/2020.",1.0,1.0,0.7045147505150046,0.9999999999
"Factoid question: Qual a legislação que dispõe sobre a obrigatoriedade da iodação do sal destinado ao consumo humano?
Answer: Lei 6.150/1974","['Lei 6.150/1974 – Dispõe sobre a obrigatoriedade da iodação do sal, destinado ao consumo humano, seu \ncontrole pelos órgãos sanitários e dá outras providências']",Lei 6.150/1974.,Lei 6.150/1974,1.0,1.0,0.0,0.9999999999
"Factoid question: Quais são os requisitos sanitários para embalagens metálicas destinadas a entrar em contato com alimentos?
Answer: RDC 854/2024 - Requisitos sanitários aplicáveis às embalagens, revestimentos, utensílios, tampas e equipamentos metálicos destinados a entrar em contato com alimentos.","['RDC 51/2010 – Critérios de migração para materiais, embalagens e equipamentos plásticos destinados a entrar \nem contato com alimentos. \n \nRDC 52/2010  – Corantes em embalagens e equipamentos plásticos destinados a estar em contato com \nalimentos.']","I don't know, apologies.","RDC 854/2024 - Requisitos sanitários aplicáveis às embalagens, revestimentos, utensílios, tampas e equipamentos metálicos destinados a entrar em contato com alimentos.",1.0,0.0,0.0,0.0
"Factoid question: Qual lei obriga que os produtos alimentícios comercializados informem sobre a presença de glúten?
Answer: Lei 10.674/2003","['de 2003. \n \nLei 10.674/2003  – Obriga a que os produtos alimentícios comercializados informem sobre a presença de \nglúten, como medida preventiva e de controle da doença celíaca.']",Lei 10.674/2003.,Lei 10.674/2003,1.0,1.0,0.0,0.9999999999
"Factoid question: Quais são os requisitos sanitários para alimentos para fins especiais de acordo com a RDC 839/2023?
Answer: Requisitos sanitários para alimentos para fins especiais são abordados na RDC 839/2023.",['Alterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.'],Requisitos sanitários para alimentos para fins especiais são abordados na RDC 839/2023.,Requisitos sanitários para alimentos para fins especiais são abordados na RDC 839/2023.,1.0,0.0,0.7096425128311162,0.9999999999
"Factoid question: Qual é o tema regulatório 3.20 da Agenda Regulatória 2024/2025?
Answer: Revisão da regulamentação de películas de celulose regeneradas em contato com alimentos.","['Tema Regulatório 3.20 da Agenda Regulatória 2024/2025: Revisão da regulamentação de películas de  \ncelulose regeneradas em contato com alimentos. \nTema Regulatório 3.21 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre materiais,']",Revisão da regulamentação de películas de celulose regeneradas em contato com alimentos.,Revisão da regulamentação de películas de celulose regeneradas em contato com alimentos.,1.0,1.0,0.574795623788482,0.9999999999
