user_input,retrieved_contexts,response,reference,context_recall,faithfulness,answer_relevancy,context_precision
"Factoid question: What RDC altered the RDCs 43, 44, and 45 from 2011 and improved legislative techniques?
Answer: RDC 729/2022","['RDC 48/2014 – Altera a RDC 45/2011. \nRDC 241/2018 – Altera as RDC´s 43 e 44/2011. \nRDC 429/2020 – Altera as RDC´s 43, 44, 45/2011. \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas']",RDC 729/2022.,RDC 729/2022,1.0,0.5,0.0,0.9999999999
"Factoid question: What is the document related to the restriction of use of industrial trans fats in foods?
Answer: Perguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.",['RDC 632/2022 - Restrição de uso de gorduras trans industriais em alimentos.  \nDocumento relacionado: \nPerguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.'],Perguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.,Perguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.,1.0,1.0,0.6247001875709294,0.9999999999
"Factoid question: What is the document related to the conservation of food in the phases of transportation, commercialization, and consumption of perishable foods?
Answer: Resolução CISA/MA/MS nº 10, de 31/07/1984","['3.3. Conservação nas fases de transporte, comercialização e consumo dos alimentos perecíveis, industrializados']","I don't know, apologies.","Resolução CISA/MA/MS nº 10, de 31/07/1984",1.0,0.0,0.0,0.9999999999
"Factoid question: When was the Biblioteca de Alimentos last updated?
Answer: Atualizada em 06.11.2024",['BIBLIOTECA DE \nALIMENTOS \nAtualizada em 06.11.2024 \nCoordenação de Processos Regulatórios – CPROR \nAssessoria de Melhoria da Qualidade Regulatória – ASREG \nGabinete do Diretor-Presidente \n \nAGENDA REGULATÓRIA \nCiclo Bienal \n2024-2025'],The Biblioteca de Alimentos was last updated on 06.11.2024.,Atualizada em 06.11.2024,1.0,1.0,0.8271143977447125,0.9999999999
"Factoid question: What document establishes the requirements for nutritional labeling on packaged foods?
Answer: IN 75/2020 - Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos embalados.",['RDC 819/2023 \nAto relacionado: \nIN 75/2020 - Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos \nembalados.   \nDocumentos relacionados:'],IN 75/2020 establishes the requirements for nutritional labeling on packaged foods.,IN 75/2020 - Estabelece os requisitos técnicos para declaração da rotulagem nutricional nos alimentos embalados.,1.0,1.0,0.4505296566228381,0.9999999999
"Factoid question: What is the section number for Boas Práticas de Fabricação (BPF) para estabelecimentos industrializadores de alimentos?
Answer: 3.1.",['alimentos \n \nTema Regulatório 3.26 da Agenda Regulatória 202 4/2025: Revisão das normas de Boas práticas de  \nfabricação (BPF) para estabelecimentos industrializadores de alimentos.'],3.1.,3.1.,1.0,0.0,0.0,0.0
"Factoid question: What is the document related to modifications in the composition of standardized foods for nutritional claims?
Answer: Perguntas e respostas sobre modificações na composição de alimentos padronizados para alegações nutricionais.",['Alterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \nDocumento relacionado: \nPerguntas e respostas sobre modificações na composição de alimentos padronizados para alegações'],"I don't know, apologies.",Perguntas e respostas sobre modificações na composição de alimentos padronizados para alegações nutricionais.,1.0,0.0,0.0,0.9999999999
"Factoid question: What does RDC 352/2002 regulate?
Answer: Boas Práticas de Fabricação para estabelecimentos produtores/industrializadores de frutas e ou hortaliças em conserva.","['Decreto nº 10.139, de 28 de novembro de 2019. \n \nRDC 352/2002 – Boas Práticas de Fabricação para estabelecimentos produtores/industrializadores de frutas e \nou hortaliças em conserva.']",RDC 352/2002 regulates Good Manufacturing Practices for establishments producing/processing preserved fruits and/or vegetables.,Boas Práticas de Fabricação para estabelecimentos produtores/industrializadores de frutas e ou hortaliças em conserva.,1.0,1.0,0.5977657970695055,0.9999999999
"Factoid question: What is the purpose of RDC 481/2021?
Answer: Requisitos sanitários para óleos e gorduras vegetais.","['autorizadas, as designações, a  composição de ácidos graxos e os valores  máximos de acidez e de índice de \nperóxidos para óleos e gorduras vegetais. \nRDC 481/2021 - Requisitos sanitários para óleos e gorduras vegetais. \n Alterada por:']",The purpose of RDC 481/2021 is to establish sanitary requirements for vegetable oils and fats.,Requisitos sanitários para óleos e gorduras vegetais.,1.0,1.0,0.6565670079913808,0.9999999999
"Factoid question: What is the document related to ""Critérios gerais e classificação de materiais para embalagens em contato com alimentos""?

Answer: RDC 91/2001",['RDC 91/2001 – Critérios gerais e classificação de materiais para embalagens em contato com alimentos \nDocumento relacionado: \nPerguntas e Respostas sobre Materiais em contato com alimentos'],RDC 91/2001,RDC 91/2001,1.0,,0.5803399141440301,0.9999999999
