user_input,retrieved_contexts,response,reference,context_recall,faithfulness,answer_relevancy,context_precision
"Factoid question: What is the theme of Regulatory Theme 3.5 in the 2024/2025 Regulatory Agenda?
Answer: Reavaliação da autorização de uso do aditivo alimentar dióxido de titânio em alimentos.","['1.5. Procedimentos para autorização de uso de aditivos alimentares e coadjuvantes \nde tecnologia  \n \nTema Regulatório 3.5 da Agenda Regulatória 2024/2025: Reavaliação da autorização de uso do aditivo  \nalimentar dióxido de titânio em alimentos.', 'alimentar dióxido de titânio em alimentos. \nTema Regulatório 3.9 da Agenda Regulatória 2024/2025: Regulamentação dos aditivos corantes formulados \ne da rotulagem de corantes e aromatizantes em alimentos embalados.', 'Tema Regulatório 3.15 da Agenda Regulatória 2024/2025: Revisão da regulamentação de aditivos  \nalimentares e coadjuvantes de tecnologia em alimentos.', 'Tema Regulatório 3.16 da Agenda Regulatória 2024/2025: Revisão da regulamentação de autorização de uso \ne de rotulagem de aditivos edulcorantes em alimentos.']","I don't know, apologies.",Reavaliação da autorização de uso do aditivo alimentar dióxido de titânio em alimentos.,1.0,0.0,0.0,0.8333333332916666
"Factoid question: What sector does the Anvisa coordinate, supervise, and control activities in?
Answer: In the sector of foods","['No setor de alimentos, a Anvisa coordena, supervisiona e controla as atividades de registro, inspeção, \nfiscalização e controle de riscos, sendo responsável por estabelecer normas e padrões de qualidade e \nidentidade a serem observados.', 'Sanitária, e dá outras providências. \n \nDecreto-Lei 986/1969 – Institui normas básicas sobre alimentos \n \nRDC 204/2005 – Procedimento de petições submetidas à análise pelos setores técnicos da Anvisa \nAlterada por: \nRDC 23/2015 \nRDC 208/2018', '4.4. Nutrivigilância \n \nTema Regulatório 3.4 da Agenda Regulatória 2024/2025 - A regulamentar. \n5. Controle sanitário em comércio exterior e ambientes de portos, aeroportos, \nfronteiras e recintos alfandegados', 'pela ANVISA, componentes da quinta etapa de consolidação da pertinência temática de alimentos em \nobservância ao que prevê a Portaria nº 488/GADIP -DP/ANVISA, de 23 de setembro de 2021 e o \nDecreto nº 10.139, de 28 de novembro de 2019.']",In the sector of foods.,In the sector of foods,1.0,1.0,0.0,0.9166666666361111
"Factoid question: What is the law that mandates the iodization of salt for human consumption?
Answer: Lei 6.150/1974 – Dispõe sobre a obrigatoriedade da iodação do sal, destinado ao consumo humano, seu controle pelos órgãos sanitários e dá outras providências","['Lei 6.150/1974 – Dispõe sobre a obrigatoriedade da iodação do sal, destinado ao consumo humano, seu \ncontrole pelos órgãos sanitários e dá outras providências', 'Decreto 75.697/1975 – Padrões de identidade e qualidade para o sal destinado ao consumo humano.', 'RDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por: \nRDC 612/2022 \nDocumento relacionado:', 'RDC 604/2022 - Enriquecimento obrigatório do sal com iodo e das farinhas de trigo e de milho com ferro e \nácido fólico destinados ao consumo humano. \nAlterada por: \nRDC 612/2022']",Lei 6.150/1974 mandates the iodization of salt for human consumption.,"Lei 6.150/1974 – Dispõe sobre a obrigatoriedade da iodação do sal, destinado ao consumo humano, seu controle pelos órgãos sanitários e dá outras providências",1.0,1.0,0.553050000276409,0.999999999975
"Factoid question: When was the Biblioteca de Alimentos last updated?
Answer: Atualizada em 06.11.2024","['BIBLIOTECA DE \nALIMENTOS \nAtualizada em 06.11.2024 \nCoordenação de Processos Regulatórios – CPROR \nAssessoria de Melhoria da Qualidade Regulatória – ASREG \nGabinete do Diretor-Presidente \n \nAGENDA REGULATÓRIA \nCiclo Bienal \n2024-2025', 'para o consumo humano. \nGuia nº 26, versão 2, de 08/01/2021 - Guia de Boas Práticas para Bancos de Alimentos. \n \nGuia nº 57, versão 1, de 07/11/2022 - Guia para Doação de Alimentos com Segurança Sanitária.', 'Alterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \nDocumento relacionado: \nPerguntas e respostas sobre modificações na composição de alimentos padronizados para alegações', 'Alterada por: \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.  \nRDC 729/2022 - Melhora da técnica legislativa e revogação de normas inferiores a Decreto editadas']",The Biblioteca de Alimentos was last updated on 06.11.2024.,Atualizada em 06.11.2024,1.0,1.0,0.8271143977447125,0.9999999999
"Factoid question: What is the theme of the regulatory agenda 2024/2025 related to contaminants in food?
Answer: Theme Regulatório 3.17 da Agenda Regulatória 2024/2025: Revisão da regulamentação de contaminantes em alimentos.","['IN 297/2024 \nIN 303/2024 \nIN 306/2024 \n1.6. Contaminantes em alimentos \n \nTema Regulatório 3.17 da Agenda Regulatória 2024/2025: Revisão da regulamentação de contaminantes em \nalimentos.', 'Tema Regulatório 3.23 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem  dos \nprincipais alimentos alergênicos. \nTema Regulatório 3.24 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem geral', 'Tema Regulatório 3.15 da Agenda Regulatória 2024/2025: Revisão da regulamentação de aditivos  \nalimentares e coadjuvantes de tecnologia em alimentos.', 'Tema Regulatório 3.6 da Agenda Regulatória 2024/2025: Regulamentação da declaração quantitativa de  \ningredientes na rotulagem de alimentos embalados.']",The theme of the regulatory agenda 2024/2025 related to contaminants in food is the review of regulations on contaminants in food.,Theme Regulatório 3.17 da Agenda Regulatória 2024/2025: Revisão da regulamentação de contaminantes em alimentos.,1.0,1.0,0.849042580254014,0.9999999999
"Factoid question: What is the regulation number that prohibits the importation, manufacturing, distribution, and commercialization of foods and beverages containing Aloe Vera in the entire national territory?
Answer: RE 5052/2011","['benzopireno, com identificação do lote e ou data de produção ou fabricação. \n \nRE 5052/2011  – Proibir a importação, a fabricação, a distribuição e a comercialização, em todo território \nnacional, de alimentos e bebidas à base de Aloe Vera', 'de alimentos e bebidas à base de Aloe Vera. \nRDC 635/2022 - Proibição, em todo o território nacional, da produção, importação, comercialização, propaganda', 'crescimento, e complementos de ferro. \nAlterada por:  \nRDC 770/2022 \n \nRE 5052/2011 – Proibir a importação, a fabricação, a distribuição e a comercialização, em todo território nacional, \nde alimentos e bebidas à base de Aloe Vera.', '1.11. Requisitos sanitários para alimentos para fins especiais \n \nTema Regulatório 3.27 da Agenda Regulatória 2024/2025: Revisão e consolidação da regulamentação  sobre']",RE 5052/2011,RE 5052/2011,1.0,,0.0,0.8333333332916666
"Factoid question: What law obliges products to inform about the presence of gluten as a preventive measure for celiac disease?
Answer: Lei 10.674/2003","['de 2003. \n \nLei 10.674/2003  – Obriga a que os produtos alimentícios comercializados informem sobre a presença de \nglúten, como medida preventiva e de controle da doença celíaca.', 'Alterado por: \nLei 13.305/2016 – Altera Decreto-Lei 986/1969 para dispor sobre rotulagem de alimentos com lactose. \n \nDecreto 4.680/2003 – Regulamenta o direito à informação  quanto aos alimentos e ingredientes alimentares', 'RDC 727/2022 - Rotulagem dos alimentos embalados.  \nAtos relacionados: \nLei 12.849/2013 – Obrigatoriedade de as fábricas de produtos que contenham látex natural gravarem \nem suas embalagens advertência sobre a presença dessa substância.', 'RDC 727/2022 - Rotulagem dos alimentos embalados.  \nAtos relacionados: \nLei 12.849/2013 – Obrigatoriedade de as fábricas de produtos que contenham látex natural gravarem \nem suas embalagens advertência sobre a presença dessa substância.']",Lei 10.674/2003.,Lei 10.674/2003,1.0,1.0,0.0,0.9999999999
"Factoid question: What is the theme of Regulatory Topic 3.33 in the 2024/2025 Regulatory Agenda?
Answer: Atualização periódica da lista de LMR, IDA, DRfA para IFA de medicamentos veterinários em alimentos de origem animal.","['1.8. Resíduos de medicamentos veterinários em alimentos de origem animal \n \nTema Regulatório 3.33 da Agenda Regulatória 2024/2025: Atualização periódica da lista de LMR, IDA, DRfA', 'Tema Regulatório 3.34 da Agenda Regulatória 2024/2025: Atualização periódica das listas de aditivos  \nalimentares e coadjuvantes de tecnologia autorizados para uso em alimentos.', 'Equivalente (AREE) \n \nTema Regulatório 3.1 da Agenda Regulatória 2024/2025 - A regulamentar. \n1.26. Regulamentação dos alimentos para fins médicos \n \nTema Regulatório 3.10 da Agenda Regulatória 2024/2025 - A regulamentar.', 'Tema Regulatório 3.23 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem  dos \nprincipais alimentos alergênicos. \nTema Regulatório 3.24 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem geral']","I don't know, apologies.","Atualização periódica da lista de LMR, IDA, DRfA para IFA de medicamentos veterinários em alimentos de origem animal.",1.0,0.0,0.0,0.9999999999
"Factoid question: What are the procedures for regularização de alimentos?
Answer: Procedimentos para regularização de alimentos","['1.1. Procedimentos para regularização de alimentos ................................ ................................ ............................  4', '1. Regularização, avaliação de risco e padrões de alimentos \nLei 9.782/1999 – Define o Sistema Nacional de Vigilância Sanitária, cria a Agência Nacional de Vigilância \nSanitária, e dá outras providências.', 'Alterada por: \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.', 'Alterada por: \nRDC 843/2024 - Regularização de alimentos e embalagens sob competência do Sistema Nacional de \nVigilância Sanitária (SNVS) destinados à oferta no território nacional.']","I'm sorry, I don't have the specific procedures for regularização de alimentos from the retrieved context.",Procedimentos para regularização de alimentos,1.0,0.0,0.0,0.49999999995
"Factoid question: What RDC established the requirements for the safety and health benefits of probiotics for use in food?
Answer: RDC 241/2018","['RDC 241/2018 – Requisitos para comprovação da segurança e dos benefícios à saúde dos probióticos para uso \nem alimentos. \nAlterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes.', 'Alteradas por: \nRDC 241/2018 – Requisitos para comprovação da segurança e dos benefícios à saúde dos probióticos \npara uso em alimentos. Altera a RDC 22/2015.', 'infância. \nRDC 241/2018 – Requisitos para comprovação da segurança e dos benefícios à saúde dos probióticos \npara uso em alimentos. \nRDC 429/2020 - Rotulagem nutricional dos alimentos embalados.', 'Atos relacionados: \nRDC 241/2018 – Requisitos para comprovação da segurança e dos benefícios à saúde dos probióticos \npara uso em alimentos. \nGuia nº 23, versão 1, de 23/07/2019  - Guia para Comprovação da Segurança de Alimentos e \nIngredientes.']",RDC 241/2018,RDC 241/2018,1.0,,0.0,0.999999999975
"Factoid question: What is the document related to the restriction of the use of industrial trans fats in foods?

Answer: Perguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.","['RDC 632/2022 - Restrição de uso de gorduras trans industriais em alimentos.  \nDocumento relacionado: \nPerguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.', 'Documento relacionado: \nPerguntas e Respostas sobre Óleos e Gorduras Vegetais \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.', 'IN 102/2021 \nIN 275/2024 \nIN 284/2024 \nIN 304/2024 \nIN 318/2024 \n \nRDC 839/2023 - Comprovação de segurança e autorização de uso de novos alimentos e novos ingredientes.   \n1.13. Requisitos para uso de gordura trans industrial em alimentos', '1.13. Requisitos para uso de gordura trans industrial em alimentos................................ ................................ ...13']",Perguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.,Perguntas e Respostas – Requisitos para uso de Gorduras Trans Industriais em Alimentos.,1.0,1.0,0.6310098048472064,0.9999999999666667
"Factoid question: What is the document related to modificações na composição de alimentos padronizados para alegações nutricionais?

Answer: Perguntas e respostas sobre modificações na composição de alimentos padronizados para alegações nutricionais.","['Alterada por: \nRDC 839/2023  - Comprovação de segurança e autorização de uso de novos alimentos e novos \ningredientes. \nDocumento relacionado: \nPerguntas e respostas sobre modificações na composição de alimentos padronizados para alegações', 'embalados.   \nDocumentos relacionados: \nPerguntas e Respostas sobre Rotulagem Nutricional de Alimentos embalados  \nPerguntas e Respostas sobre Alegações Nutricionais', 'Documentos relacionados: \nPerguntas e Respostas sobre Suplementos Alimentares. \nPerguntas e Respostas sobre Substâncias Bioativas. \nIN 28/2018  – Listas de constituintes, de limites de uso, de alegações e de rotulagem complementar dos', 'Aditivos Alimentares e Coadjuvantes de Tecnologia de Fabricação na Legislação Brasileira. \nDocumento relacionado: \nPerguntas e Respostas sobre Aditivos Alimentares e Coadjuvantes de Tecnologia']",Perguntas e respostas sobre modificações na composição de alimentos padronizados para alegações nutricionais.,Perguntas e respostas sobre modificações na composição de alimentos padronizados para alegações nutricionais.,1.0,0.0,0.3300133360591986,0.999999999975
"Factoid question: What is the document related to ""Perguntas e Respostas sobre Materiais em contato com alimentos""?

Answer: RDC 91/2001 – Critérios gerais e classificação de materiais para embalagens em contato com alimentos","['RDC 91/2001 – Critérios gerais e classificação de materiais para embalagens em contato com alimentos \nDocumento relacionado: \nPerguntas e Respostas sobre Materiais em contato com alimentos', 'RDC 51/2010 – Critérios de migração para materiais, embalagens e equipamentos plásticos destinados a entrar \nem contato com alimentos. \n \nRDC 52/2010  – Corantes em embalagens e equipamentos plásticos destinados a estar em contato com \nalimentos.', 'RES 105/1999 – Disposições gerais para embalagens e equipamentos plásticos em contato com alimentos. \nAlterada por: \nRDC 51/2010 – Critérios de migração para materiais, embalagens e equipamentos plásticos destinados', 'Alterada por:  \nRDC 326/2019 \nRDC 589/2021 \n \nRDC 88/2016  – Materiais, embalagens e equipamentos celulósicos destinados a entrar em contato com \nalimentos. \nAlterada por:  \nRDC 589/2021 \nRDC 798/2023']",RDC 91/2001 - General criteria and classification of materials for packaging in contact with food.,RDC 91/2001 – Critérios gerais e classificação de materiais para embalagens em contato com alimentos,1.0,1.0,0.45389575896320067,0.7499999999625
"Factoid question: What document provides guidelines for good nutritional practices for French bread?
Answer: Guia de boas práticas nutricionais para pão francês","['Guia de boas práticas nutricionais para pão francês \nGuia de boas práticas nutricionais para restaurantes coletivos', 'Guia nº 16, versão 1, de 05/10/2018 - Guia para Determinação de Prazos de Validade de Alimentos. \n Documentos relacionados: \nPerguntas e respostas sobre rotulagem de alimentos alergênicos \nPerguntas e respostas sobre rotulagem de lactose', 'Guia nº 16, versão 1, de 05/10/2018 - Guia para Determinação de Prazos de Validade de Alimentos. \n Documentos relacionados: \nPerguntas e respostas sobre rotulagem de alimentos alergênicos \nPerguntas e respostas sobre rotulagem de lactose', '3.1. Boas Práticas de Fabricação (BPF) para estabelecimentos industrializadores de alimentos ............................ 20']","I don't know, apologies.",Guia de boas práticas nutricionais para pão francês,1.0,0.0,0.0,0.9999999999
"Factoid question: What decree establishes the basic rules on food in Brazil?
Answer: Decreto-Lei 986/1969","['Decreto 75.697/1975 – Padrões de identidade e qualidade para o sal destinado ao consumo humano.', 'de alimentos embalados. \nTema 3.25 da Agenda Regulatória 2024/2025: Revisão da regulamentação sobre rotulagem  nutricional dos \nalimentos embalados. \nDecreto-Lei 986/1969 – Institui normas básicas sobre alimentos. \nAlterado por:', 'Sanitária, e dá outras providências. \n \nDecreto-Lei 986/1969 – Institui normas básicas sobre alimentos \n \nRDC 204/2005 – Procedimento de petições submetidas à análise pelos setores técnicos da Anvisa \nAlterada por: \nRDC 23/2015 \nRDC 208/2018', '1. Regularização, avaliação de risco e padrões de alimentos \nLei 9.782/1999 – Define o Sistema Nacional de Vigilância Sanitária, cria a Agência Nacional de Vigilância \nSanitária, e dá outras providências.']","I don't know, apologies.",Decreto-Lei 986/1969,1.0,0.0,0.0,0.5833333333041666
